Stadium_Name,Locality,Federative_Units,Owner,Capacity
Vermelhão da Serra,Passo Fundo,RS,Privado,15000
Torquato Pontes,Rio Grande,RS,Privado,15000
Arthur Marinho,Corumbá,MS,Privado,15000
Antonio Lins Ribeiro Guimarães,Santa Bárbara d'Oeste,SP,Privado,14913
Lancha Filho,Franca,SP,Governo Municipal,14686
Francisco Nogueira Filho,Mogi das Cruzes,SP,Governo Municipal,14384
Bruno José Daniel,Santo André,SP,Governo Municipal,14185
Anísio Haddad,São José do Rio Preto,SP,Privado,14126
Jorge Ismael de Biasi,Novo Horizonte,SP,Privado,12872
Amaros,Itápolis,SP,Privado,14074
Francisco Novelletto Neto,Porto Alegre,RS,Privado,14000
Serrinha,Goiânia,GO,Privado,14000
Soares de Azevedo,Muriaé,MG,Privado,13971
Walter Ribeiro,Sorocaba,SP,Governo Municipal,13772
Zerão,Macapá,AP,Governo Estadual,13680
Olímpico,Goiânia,GO,Governo Estadual,13500
Ícaro de Castro Melo,São Paulo,SP,Governo Estadual,13400
Otacília Patrício Arroyo,Monte Azul Paulista,SP,Privado,13100
Fortaleza,Barretos,SP,Governo Municipal,13007
Gigante do Norte,Sinop,MT,Governo Municipal,13000
Bento Freitas,Pelotas,RS,Privado,13000
Oswaldo Scatena,Batatais,SP,Privado,13000
Zezinho Magalhães,Jaú,SP,Privado,12978
Joaquim de Morais Filho,Taubaté,SP,Privado,12896
14 de Dezembro,Toledo,PR,Governo Municipal,12500
Fumeirão,Arapiraca,AL,Governo Municipal,12500
Antônio Accioly,Goiânia,GO,Privado,12500
José Liberatti,Osasco,SP,Governo Municipal,12430
Serra do Lago,Luziânia,GO,Governo Municipal,12300
Cornélio de Barros,Salgueiro,PE,Governo Municipal,12070
Ademir Cunha,Paulista,PE,Governo Municipal,12000
Caio Martins,Niterói,RJ,Privado,12000
Marizão,Caicó,RN,Governo Estadual,12000
Municipal de Quiterianópolis,Quiterianópolis,CE,Governo Municipal,12000
Baenão,Belém,PA,Privado,12000
Colosso do Tapajós,Santarém,PA,Governo Municipal,12000
Alonso Carvalho Braga,Tupã,SP,Governo Municipal,12000
Antônio Pena,Catu,BA,Governo Municipal,12000
Perpetão,Cajazeiras,PB,Governo Estadual,12000
OBA,Goiânia,GO,Privado,11788
Breno Ribeiro do Val,Osvaldo Cruz,SP,Governo Municipal,11784
Luiz Viana Filho,Itabuna,BA,Governo Municipal,11745
Mirandão,Crato,CE,Governo Municipal,11732
Lomantão,Vitória da Conquista,BA,Governo Municipal,11538
José Cavalcanti,Patos,PB,Governo Municipal,11500
Nhozinho Santos,São Luís,MA,Governo Municipal,11429
Adhermazão,Araçatuba,SP,Governo Municipal,11274
Geraldão,Tauá,CE,Governo Municipal,11168
Gigante do Itiberê,Paranaguá,PR,Governo Municipal,11000
CE Umuarama,Umuarama,PR,Governo Municipal,11000
Marizão,Sousa,PB,Governo Municipal,11000
Rua Bariri,Rio de Janeiro,RJ,Governo Municipal,11000
Carneirão,Vitória de Santo Antão,PE,Governo Municipal,10911
Jonas Duarte,Anápolis,GO,Governo Municipal,10707
Grito da República,Olinda,PE,Governo Municipal,10700
Bom Jesus da Lapa,Apucarana,PR,Governo Municipal,10682
Germano Krüger,Ponta Grossa,PR,Privado,10632
Junco,Sobral,CE,Governo Municipal,10500
Trabalhador,Resende,RJ,Governo Municipal,10500
Colina,Manaus,AM,Governo Estadual,10451
Dos Pássaros,Arapongas,PR,Governo Estadual,10440
Domingão,Horizonte,CE,Governo Municipal,10400
Pedro Alves do Nascimento,Patrocínio,MG,Governo Municipal,10250
Vavazão,Maruim,SE,Governo Estadual,10235
Parque do Bacurau,Cametá,PA,Governo Municipal,10230
Nicolau Alayon,São Paulo,SP,Privado,10117
Barrettão,Ceará-Mirim,RN,Governo Municipal,10068
José Sidney Cunha,Capão Bonito,SP,Privado,10022
Octávio da Silva Bastos,São João da Boa Vista,SP,Governo Municipal,10002
Arena do Calçado,Nova Serrana,MG,Governo Municipal,10000
Bernardo Rubinger de Queiroz,Patos de Minas,MG,Governo Municipal,10000
Teotônio Vilela,Viçosa,AL,Governo Municipal,10000
Florestão,Rio Branco,AC,Governo Municipal,10000
Estrela D'Alva,Bagé,RS,Privado,10000
Cristo Rei,São Leopoldo,RS,Privado,10000
